id,topic,subtopic,case_context,additional_context,question,marks,acceptable_answers,feedback,generated_at
SAQ_EE06914E_Q6,H. Prescribing,National processes for medicines management,"A 22-year-old university student attends their GP surgery complaining of increased shortness of breath and wheezing during exercise. They are diagnosed with mild intermittent asthma and the GP discusses the choice of inhaler device, taking into account the environmental impact.",,State the name given to the local list of approved medicines used within an NHS Trust or region to promote safe and cost-effective prescribing.,1,"[""Formulary"", ""Local drug formulary"", ""Prescribing formulary""]","[Subtopic: National processes for medicines management] A local drug formulary is a curated list of medications that healthcare professionals in a specific area are encouraged to prescribe, based on clinical evidence and cost.",2026-05-16T10:34:30.520463
SAQ_A66FC9F8_Q1,I. Public health,Three pillars of public health,A 45-year-old man attends a routine health check at his GP surgery. He reports a 20 pack-year smoking history and works long hours in a sedentary office job. His Body Mass Index (BMI) is calculated as 31 kg/m².,,Public health is often described as resting on three pillars. Name the specific pillar that focuses on protecting the population from infectious diseases and environmental hazards.,2,"[""Health protection""]","[Subtopic: Three pillars of public health] The three pillars of public health are health protection (e.g., infectious disease control), health improvement (e.g., lifestyle changes), and health services (e.g., service efficiency and evidence-based medicine).",2026-05-16T10:34:55.662124
SAQ_A66FC9F8_Q2,I. Public health,Address social determinants of health,A 45-year-old man attends a routine health check at his GP surgery. He reports a 20 pack-year smoking history and works long hours in a sedentary office job. His Body Mass Index (BMI) is calculated as 31 kg/m².,The patient mentions he finds it difficult to exercise because his neighborhood lacks safe green spaces and he cannot afford a gym membership.,"State the term used to describe the conditions in which people are born, grow, live, work, and age, which shape their health outcomes.",2,"[""Social determinants of health"", ""Social determinants"", ""SDOH""]","[Subtopic: Address social determinants of health] Social determinants of health are the non-medical factors such as socioeconomic status, education, and the physical environment that influence health disparities and outcomes.",2026-05-16T10:34:55.662134
SAQ_A66FC9F8_Q3,I. Public health,Public health in practice – application of the principles of public health,A 45-year-old man attends a routine health check at his GP surgery. He reports a 20 pack-year smoking history and works long hours in a sedentary office job. His Body Mass Index (BMI) is calculated as 31 kg/m².,"The GP explains that while individual advice helps, government policies like the smoking ban in public places are also necessary to improve health outcomes across the whole country.","According to Geoffrey Rose's paradigm, what is the term for a prevention strategy that aims to shift the distribution of a risk factor across the entire population, rather than just targeting high-risk individuals?",2,"[""Population approach"", ""The population strategy"", ""Population-based approach"", ""Mass strategy""]","[Subtopic: Public health in practice – application of the principles of public health] Geoffrey Rose's 'Population Strategy' focuses on reducing the level of risk in the whole population, which can lead to a larger total decrease in disease burden than only targeting individuals at high risk.",2026-05-16T10:34:55.662137
SAQ_A66FC9F8_Q4,I. Public health,Medical sociology,A 45-year-old man attends a routine health check at his GP surgery. He reports a 20 pack-year smoking history and works long hours in a sedentary office job. His Body Mass Index (BMI) is calculated as 31 kg/m².,"The patient feels that his obesity is a personal failure, but the GP discusses how the surrounding 'obesogenic environment' and food industry regulations contribute to his weight.",Name the model of health that views health and illness as products of social and environmental factors rather than purely biological or physiological malfunctions.,2,"[""Social model of health"", ""The social model"", ""Social model""]","[Subtopic: Medical sociology] The social model of health emphasizes the role of social, economic, and environmental factors in health, whereas the medical model focuses primarily on biological pathology.",2026-05-16T10:34:55.662140
SAQ_A66FC9F8_Q5,I. Public health,Behaviour and society,A 45-year-old man attends a routine health check at his GP surgery. He reports a 20 pack-year smoking history and works long hours in a sedentary office job. His Body Mass Index (BMI) is calculated as 31 kg/m².,The patient takes a week off work due to a stress-related illness. His employer expects him to seek medical help and follow advice in order to return to his duties.,"According to Talcott Parsons, what is the sociological term for the set of rights and obligations granted to a person who is ill, allowing them temporary exemption from normal social roles?",2,"[""The sick role"", ""Sick role""]","[Subtopic: Behaviour and society] Talcott Parsons described the 'Sick Role' as a form of sanctioned deviance where the ill person has the right to be exempt from normal social duties, provided they fulfill the obligation to seek professional help and attempt to recover.",2026-05-16T10:34:55.662142
SAQ_E43C85CD_Q1,J. Critical numbers,Quantitative study design,A general practitioner is reviewing a recently published paper to evaluate whether a new dietary supplement increases high-density lipoprotein (HDL) cholesterol levels in healthy adults. The paper describes a study where 400 healthy volunteers were randomly allocated to receive either the supplement or a placebo for six months.,,Identify the specific type of quantitative study design described in this scenario.,2,"[""Randomised Controlled Trial"", ""Randomized Controlled Trial"", ""RCT""]",[Subtopic: Quantitative study design] A Randomized Controlled Trial (RCT) is an experimental study design where participants are randomly assigned to an intervention or control group to evaluate the effect of an intervention.,2026-05-16T10:35:20.189284
SAQ_E43C85CD_Q2,J. Critical numbers,Summary statistics,A general practitioner is reviewing a recently published paper to evaluate whether a new dietary supplement increases high-density lipoprotein (HDL) cholesterol levels in healthy adults. The paper describes a study where 400 healthy volunteers were randomly allocated to receive either the supplement or a placebo for six months.,The researchers reported the baseline HDL cholesterol levels of participants using a mean value and a standard deviation.,State the category of data (categorical or numeric) that HDL cholesterol level represents.,2,"[""Numeric"", ""Numerical"", ""Continuous"", ""Quantitative""]","[Subtopic: Summary statistics] HDL cholesterol levels are measured on a continuous scale with meaningful arithmetic distances between values, classifying it as numeric (or quantitative) data.",2026-05-16T10:35:20.189292
SAQ_E43C85CD_Q3,J. Critical numbers,Inferential statistics,A general practitioner is reviewing a recently published paper to evaluate whether a new dietary supplement increases high-density lipoprotein (HDL) cholesterol levels in healthy adults. The paper describes a study where 400 healthy volunteers were randomly allocated to receive either the supplement or a placebo for six months.,"The study findings showed that the supplement group had a significantly higher mean HDL level compared to the placebo group, with a reported p-value of 0.03.",Define what the p-value of 0.03 represents in relation to the null hypothesis.,2,"[""The probability of obtaining the observed result (or more extreme) if the null hypothesis is true"", ""The probability of seeing this difference by chance if there is no real effect""]",[Subtopic: Inferential statistics] The p-value is the probability of observing the study results (or more extreme results) under the assumption that the null hypothesis (no effect) is true.,2026-05-16T10:35:20.189294
SAQ_E43C85CD_Q4,J. Critical numbers,Inferential statistics,A general practitioner is reviewing a recently published paper to evaluate whether a new dietary supplement increases high-density lipoprotein (HDL) cholesterol levels in healthy adults. The paper describes a study where 400 healthy volunteers were randomly allocated to receive either the supplement or a placebo for six months.,The researchers reported that the mean increase in HDL in the supplement group was 0.15 mmol/L (95% Confidence Interval [CI]: 0.05 to 0.25 mmol/L).,What does a 95% Confidence Interval indicate about the true population mean increase in HDL?,2,"[""We are 95% confident that the true population mean lies within this range"", ""There is a 95% probability that the interval contains the true population mean"", ""It provides a range of values that is likely to include the true population parameter""]","[Subtopic: Inferential statistics] A 95% Confidence Interval provides an estimated range of values which is likely to include the unknown population parameter, based on a given level of confidence.",2026-05-16T10:35:20.189295
SAQ_E43C85CD_Q5,J. Critical numbers,Critical appraisal,A general practitioner is reviewing a recently published paper to evaluate whether a new dietary supplement increases high-density lipoprotein (HDL) cholesterol levels in healthy adults. The paper describes a study where 400 healthy volunteers were randomly allocated to receive either the supplement or a placebo for six months.,The GP notes that the researchers used randomization to ensure that factors such as baseline diet and exercise levels were balanced between the groups.,Name the type of systematic error or 'mixing of effects' that randomization is designed to minimize in this study.,2,"[""Confounding"", ""Selection bias"", ""Confounder""]","[Subtopic: Critical appraisal] Randomization helps to ensure that both known and unknown confounders (baseline characteristics that might influence the outcome) are distributed equally between study groups, minimizing confounding and selection bias.",2026-05-16T10:35:20.189297
SAQ_E9EB3CB8_Q1,K. Early Years General Practice (EYGP),Session 2 'Pregnancy' (during IMMS block),A 24-year-old woman attends her first appointment at her local GP surgery to discuss her recently confirmed pregnancy. She is currently 8 weeks gestation and has no significant past medical history.,,State the names of the two routine ultrasound scans offered to all pregnant women in the UK as part of the NHS Fetal Anomaly Screening Programme.,2,"[""Dating scan"", ""Anomaly scan"", ""20-week scan"", ""Mid-pregnancy scan""]","[Subtopic: Session 2 'Pregnancy' (during IMMS block)] In the UK, pregnant women are routinely offered a dating scan (usually between 10 and 14 weeks) and an anomaly scan (usually between 18 and 21 weeks) to check the baby's development.",2026-05-16T10:35:50.142625
SAQ_E9EB3CB8_Q2,K. Early Years General Practice (EYGP),Session 2 'Pregnancy' (during IMMS block),A 24-year-old woman attends her first appointment at her local GP surgery to discuss her recently confirmed pregnancy. She is currently 8 weeks gestation and has no significant past medical history.,"During the booking appointment, the midwife performs a risk assessment to determine if the patient requires consultant-led care.",Identify two factors from a patient's medical history or current pregnancy status that would classify a pregnancy as 'higher risk'.,2,"[""Pre-existing diabetes"", ""Hypertension"", ""BMI over 35"", ""BMI over 30"", ""Previous caesarean section"", ""Multiple pregnancy"", ""Twins"", ""Age over 40"", ""Chronic kidney disease"", ""Autoimmune disease""]","[Subtopic: Session 2 'Pregnancy' (during IMMS block)] Higher risk pregnancies include those with pre-existing medical conditions (like diabetes or hypertension), maternal age over 40, high BMI, or obstetric history such as a previous C-section or carrying multiples.",2026-05-16T10:35:50.142634
SAQ_E9EB3CB8_Q3,K. Early Years General Practice (EYGP),Session 2 'Pregnancy' (during IMMS block),A 24-year-old woman attends her first appointment at her local GP surgery to discuss her recently confirmed pregnancy. She is currently 8 weeks gestation and has no significant past medical history.,"As part of the routine assessment, the midwife uses the HARK screening tool to identify potential domestic abuse.","In the HARK screening tool, what do the letters 'R' and 'K' represent?",2,"[""Rape"", ""Kicked"", ""Forced sexual activity"", ""Physically hurt""]","[Subtopic: Session 2 'Pregnancy' (during IMMS block)] The HARK tool stands for: Humiliation, Afraid, Rape, and Kicked. It is a validated tool used in clinical practice to screen for domestic violence.",2026-05-16T10:35:50.142636
SAQ_E9EB3CB8_Q4,K. Early Years General Practice (EYGP),Session 1 'Generalism and holistic patient care' (during IMMS block),A 24-year-old woman attends her first appointment at her local GP surgery to discuss her recently confirmed pregnancy. She is currently 8 weeks gestation and has no significant past medical history.,"The patient's care is managed within the primary care setting, but she may be referred to secondary care if complications arise.",State two fundamental differences between primary care and secondary care in the United Kingdom health system.,2,"[""Primary care is the first point of contact / secondary care is via referral"", ""Primary care is generalist / secondary care is specialist"", ""Primary care provides longitudinal care / secondary care is episodic"", ""Primary care is community-based / secondary care is hospital-based""]","[Subtopic: Session 1 'Generalism and holistic patient care' (during IMMS block)] Primary care (GPs) acts as the 'gatekeeper' and first point of contact providing holistic, continuous care. Secondary care (hospitals) provides specialist, often episodic care for patients referred by primary care.",2026-05-16T10:35:50.142638
SAQ_E9EB3CB8_Q5,K. Early Years General Practice (EYGP),Session 2 'Pregnancy' (during IMMS block),A 24-year-old woman attends her first appointment at her local GP surgery to discuss her recently confirmed pregnancy. She is currently 8 weeks gestation and has no significant past medical history.,The midwife provides Sarah with advice regarding diet and nutritional supplements.,State the standard recommended daily dose of Folic Acid for a low-risk pregnancy and name one specific vitamin supplement that should be avoided during pregnancy due to its teratogenic effects.,2,"[""400 micrograms; Vitamin A"", ""400mcg; Vitamin A"", ""400 micrograms; Retinol"", ""400mcg; Retinol""]",[Subtopic: Session 2 'Pregnancy' (during IMMS block)] Women are advised to take 400 micrograms of Folic Acid daily to reduce the risk of neural tube defects. Vitamin A (retinol) should be avoided as high doses are teratogenic (can cause birth defects).,2026-05-16T10:35:50.142639
SAQ_55F2F061_Q1,A. Introduction to Medicine and Medical Science (IMMS),Energy metabolism / Biochemistry,"A 22-year-old athlete is performing a maximal effort sprint on a cycle ergometer as part of a sports science study on anaerobic threshold. During the first 30 seconds of high-intensity exercise, his muscles rely heavily on anaerobic pathways for ATP production.",,Name the specific 3-carbon metabolic end-product produced in the skeletal muscle during anaerobic glycolysis which is subsequently released into the bloodstream.,2,"[""Lactate"", ""Lactic acid""]","[Subtopic: Energy metabolism / Biochemistry] In the absence of sufficient oxygen or at high intensities, pyruvate is reduced to lactate by the enzyme lactate dehydrogenase to regenerate NAD+ for glycolysis to continue.",2026-05-16T10:36:21.610209
SAQ_55F2F061_Q2,A. Introduction to Medicine and Medical Science (IMMS),Energy metabolism / Biochemistry,"A 22-year-old athlete is performing a maximal effort sprint on a cycle ergometer as part of a sports science study on anaerobic threshold. During the first 30 seconds of high-intensity exercise, his muscles rely heavily on anaerobic pathways for ATP production.",The athlete's muscles require an immediate and constant turnover of the ATP-ADP cycle to fuel cross-bridge cycling.,Name the high-energy chemical bond that is typically broken in ATP to release energy for muscle contraction.,1,"[""Phosphoanhydride bond"", ""Phosphoanhydride"", ""Phosphate bond"", ""Anhydride bond""]",[Subtopic: Energy metabolism / Biochemistry] ATP contains two high-energy phosphoanhydride bonds. Hydrolysis of the terminal bond (ATP to ADP) releases the energy required for cellular work.,2026-05-16T10:36:21.610218
SAQ_55F2F061_Q3,A. Introduction to Medicine and Medical Science (IMMS),Cell histology and their ultrastructural components,"A 22-year-old athlete is performing a maximal effort sprint on a cycle ergometer as part of a sports science study on anaerobic threshold. During the first 30 seconds of high-intensity exercise, his muscles rely heavily on anaerobic pathways for ATP production.",The contractile properties of the athlete's quadriceps muscles are determined by the highly organized arrangement of myofilaments within the muscle fibres.,"Name the basic repeating functional unit of a myofibril, located between two adjacent Z-discs, which shortens during muscle contraction.",2,"[""Sarcomere""]","[Subtopic: Cell histology and their ultrastructural components] The sarcomere is the fundamental unit of contraction in striated muscle, consisting of organized thick (myosin) and thin (actin) filaments.",2026-05-16T10:36:21.610220
SAQ_55F2F061_Q4,A. Introduction to Medicine and Medical Science (IMMS),Genetics,"A 22-year-old athlete is performing a maximal effort sprint on a cycle ergometer as part of a sports science study on anaerobic threshold. During the first 30 seconds of high-intensity exercise, his muscles rely heavily on anaerobic pathways for ATP production.","As part of the study, the athlete's general health is screened. He is confirmed to have a normal human karyotype.",State the total number of autosomes found in a normal human somatic cell.,1,"[""44"", ""22 pairs""]",[Subtopic: Genetics] A normal human somatic cell contains 46 chromosomes in total: 44 autosomes (22 pairs) and 2 sex chromosomes.,2026-05-16T10:36:21.610237
SAQ_55F2F061_Q5,A. Introduction to Medicine and Medical Science (IMMS),Cell biology,"A 22-year-old athlete is performing a maximal effort sprint on a cycle ergometer as part of a sports science study on anaerobic threshold. During the first 30 seconds of high-intensity exercise, his muscles rely heavily on anaerobic pathways for ATP production.","Following the sprint, the athlete recovers at a low intensity. During this aerobic phase, his muscle cells efficiently produce ATP via the Citric Acid (Krebs) cycle.",Name the specific sub-cellular compartment within the mitochondria where the enzymes of the Citric Acid cycle are located.,2,"[""Mitochondrial matrix"", ""Matrix""]","[Subtopic: Cell biology] The mitochondrial matrix contains the enzymes responsible for the Krebs cycle and fatty acid oxidation, while the electron transport chain is located on the inner mitochondrial membrane.",2026-05-16T10:36:21.610241
SAQ_55F2F061_Q6,A. Introduction to Medicine and Medical Science (IMMS),Cell biology,"A 22-year-old athlete is performing a maximal effort sprint on a cycle ergometer as part of a sports science study on anaerobic threshold. During the first 30 seconds of high-intensity exercise, his muscles rely heavily on anaerobic pathways for ATP production.","To support recovery and glycogen replenishment, glucose is transported from the blood into the athlete's muscle cells via GLUT4 transporters.","What is the specific term for this type of membrane transport, which uses a transmembrane protein to move a solute down its concentration gradient without using metabolic energy?",2,"[""Facilitated diffusion""]",[Subtopic: Cell biology] Facilitated diffusion is a form of passive transport where molecules move across the membrane through specific carrier or channel proteins without the expenditure of ATP.,2026-05-16T10:36:21.610243
SAQ_184C7CA5_Q1,B. Cardiovascular system,Anatomical features of the cardiovascular system,A 22-year-old medical student is performing a cardiovascular examination on a healthy volunteer in a clinical skills laboratory.,,Identify the specific intercostal space and the anatomical line where the mitral valve is typically best auscultated on the chest wall.,2,"[""5th intercostal space and mid-clavicular line"", ""Fifth intercostal space and mid-clavicular line"", ""5th ICS and MCL""]","[Subtopic: Anatomical features of the cardiovascular system] The mitral valve is auscultated at the apex of the heart, which is normally located in the 5th intercostal space in the mid-clavicular line.",2026-05-16T10:36:50.141074
SAQ_184C7CA5_Q2,B. Cardiovascular system,Embryonic development of the heart and circulation,A 22-year-old medical student is performing a cardiovascular examination on a healthy volunteer in a clinical skills laboratory.,The student considers the physiological transitions that occur when moving from fetal to adult circulation.,"Name the fetal vascular shunt that connects the pulmonary trunk to the descending aorta, and state the name of the fibrous remnant it becomes in the adult.",2,"[""Ductus arteriosus and ligamentum arteriosum"", ""Ductus arteriosus and the ligamentum arteriosum""]","[Subtopic: Embryonic development of the heart and circulation] The ductus arteriosus allows blood to bypass the non-functional fetal lungs. Upon closure after birth, it fibroses to become the ligamentum arteriosum.",2026-05-16T10:36:50.141081
SAQ_184C7CA5_Q3,B. Cardiovascular system,Physiological features of the cardiovascular system,A 22-year-old medical student is performing a cardiovascular examination on a healthy volunteer in a clinical skills laboratory.,The student measures the volunteer's heart rate and blood pressure to estimate cardiac function.,Cardiac output is a key measure of cardiovascular performance. State the two physiological variables that are multiplied together to calculate the cardiac output.,2,"[""Heart rate and stroke volume"", ""HR and SV""]","[Subtopic: Physiological features of the cardiovascular system] Cardiac output (CO) is the volume of blood pumped by the heart per minute, calculated as Heart Rate (HR) × Stroke Volume (SV).",2026-05-16T10:36:50.141083
SAQ_184C7CA5_Q4,B. Cardiovascular system,Physiological features of the cardiovascular system,A 22-year-old medical student is performing a cardiovascular examination on a healthy volunteer in a clinical skills laboratory.,,"The Frank-Starling law describes how the heart adapts to changes in venous return. According to this law, what is the effect on the stroke volume if the end-diastolic volume (preload) increases?",1,"[""Increases"", ""It increases"", ""Stroke volume increases""]",[Subtopic: Physiological features of the cardiovascular system] The Frank-Starling law states that the stroke volume of the heart increases in response to an increase in the volume of blood filling the heart (the end-diastolic volume) when all other factors remain constant.,2026-05-16T10:36:50.141084
SAQ_184C7CA5_Q5,B. Cardiovascular system,Histology of the cardiovascular system,A 22-year-old medical student is performing a cardiovascular examination on a healthy volunteer in a clinical skills laboratory.,The student reviews a histology slide showing the layers of the human heart wall.,Name the innermost layer of the heart wall and identify the specific type of simple squamous epithelium that lines this layer.,2,"[""Endocardium and endothelium"", ""The endocardium and endothelium""]","[Subtopic: Histology of the cardiovascular system] The heart wall consists of the epicardium, myocardium, and endocardium. The endocardium is the innermost layer and is lined by endothelium, which is a simple squamous epithelium.",2026-05-16T10:36:50.141086
SAQ_184C7CA5_Q6,B. Cardiovascular system,Principle features of haematology,A 22-year-old medical student is performing a cardiovascular examination on a healthy volunteer in a clinical skills laboratory.,A blood sample is taken for a physiology practical to analyze plasma constituents.,Name the most abundant plasma protein responsible for maintaining the oncotic pressure of the blood.,1,"[""Albumin"", ""Serum albumin""]","[Subtopic: Principle features of haematology] Albumin is the most abundant protein in human plasma and is the primary contributor to colloid osmotic (oncotic) pressure, which helps retain fluid within the vascular compartment.",2026-05-16T10:36:50.141087
SAQ_D4EAB4D3_Q1,C. Respiratory system,Physiological features of the respiratory system,"A 24-year-old man is trekking at high altitude in the Himalayas. As the atmospheric pressure decreases, his peripheral chemoreceptors detect a drop in the partial pressure of arterial oxygen (PaO2), triggering an increase in his minute ventilation.",,Name the specific sensory structures located at the bifurcation of the common carotid arteries that are responsible for detecting this decrease in PaO2.,1,"[""Carotid bodies"", ""The carotid body""]","[Subtopic: Physiological features of the respiratory system] The carotid bodies are peripheral chemoreceptors located at the bifurcation of the common carotid arteries. They are sensitive to decreases in PaO2, increases in PaCO2, and decreases in pH, signaling the medulla to increase ventilation.",2026-05-16T10:37:10.675814
SAQ_D4EAB4D3_Q2,C. Respiratory system,Physiological features of the respiratory system,"A 24-year-old man is trekking at high altitude in the Himalayas. As the atmospheric pressure decreases, his peripheral chemoreceptors detect a drop in the partial pressure of arterial oxygen (PaO2), triggering an increase in his minute ventilation.","During his journey, he undergoes a series of pulmonary function tests at a research station.",Define the lung volume known as 'Residual Volume'.,2,"[""The volume of air remaining in the lungs after maximal expiration"", ""The volume of air remaining in the lungs after a forceful expiration"", ""Volume of air left in lungs after maximal exhalation""]",[Subtopic: Physiological features of the respiratory system] Residual volume is the amount of air that stays in the lungs even after a person exhales as much as possible. It prevents the lungs from collapsing.,2026-05-16T10:37:10.675821
SAQ_D4EAB4D3_Q3,C. Respiratory system,Histology of the respiratory system,"A 24-year-old man is trekking at high altitude in the Himalayas. As the atmospheric pressure decreases, his peripheral chemoreceptors detect a drop in the partial pressure of arterial oxygen (PaO2), triggering an increase in his minute ventilation.",The efficiency of gas exchange at high altitude relies on the integrity of the alveolar-capillary barrier.,Identify the specific type of alveolar epithelial cell that covers the majority (approximately 95%) of the alveolar surface area and facilitates gas exchange.,1,"[""Type 1 pneumocyte"", ""Type I pneumocyte"", ""Type 1 alveolar cell"", ""Type I alveolar cell"", ""Squamous alveolar cell""]","[Subtopic: Histology of the respiratory system] Type I pneumocytes are thin, squamous cells that form the majority of the alveolar surface, providing a minimal distance for the diffusion of gases between the air and the blood.",2026-05-16T10:37:10.675822
SAQ_D4EAB4D3_Q4,C. Respiratory system,Anatomical features of the respiratory system / thorax,"A 24-year-old man is trekking at high altitude in the Himalayas. As the atmospheric pressure decreases, his peripheral chemoreceptors detect a drop in the partial pressure of arterial oxygen (PaO2), triggering an increase in his minute ventilation.",The trekker's increased ventilatory effort requires efficient contraction of his primary muscle of inspiration.,Name the nerve that provides motor innervation to the diaphragm and state its spinal root origins.,3,"[""Phrenic nerve; C3, C4, C5"", ""Phrenic; C3-C5"", ""The phrenic nerve; C3, C4 and C5""]","[Subtopic: Anatomical features of the respiratory system / thorax] The diaphragm is the primary muscle of inspiration. It is innervated by the phrenic nerve, which arises from the anterior rami of cervical spinal nerves C3, C4, and C5 ('C3, 4, 5 keep the diaphragm alive').",2026-05-16T10:37:10.675824
SAQ_D4EAB4D3_Q5,C. Respiratory system,Physiological features of the respiratory system,"A 24-year-old man is trekking at high altitude in the Himalayas. As the atmospheric pressure decreases, his peripheral chemoreceptors detect a drop in the partial pressure of arterial oxygen (PaO2), triggering an increase in his minute ventilation.",The movement of air into his lungs is governed by changes in thoracic volume and pressure.,State the name of the gas law that explains why intrapulmonary pressure drops as the volume of the thoracic cavity increases during inspiration.,1,"[""Boyle's Law"", ""Boyles Law""]","[Subtopic: Physiological features of the respiratory system] Boyle's Law states that the pressure of a gas is inversely proportional to its volume (at constant temperature). As the thoracic volume increases during inspiration, the pressure decreases below atmospheric pressure, drawing air into the lungs.",2026-05-16T10:37:10.675825
SAQ_D4EAB4D3_Q6,C. Respiratory system,Embryonic development of the respiratory system,"A 24-year-old man is trekking at high altitude in the Himalayas. As the atmospheric pressure decreases, his peripheral chemoreceptors detect a drop in the partial pressure of arterial oxygen (PaO2), triggering an increase in his minute ventilation.","To maintain alveolar stability during these rapid pressure changes, the lungs produce a substance that reduces surface tension.",Name the specialized cells that produce pulmonary surfactant and state how surfactant affects the work of breathing.,2,"[""Type 2 pneumocytes; decreases work of breathing"", ""Type II pneumocytes; reduces work of breathing"", ""Type 2 pneumocytes; makes breathing easier"", ""Type II pneumocytes; increases lung compliance""]","[Subtopic: Embryonic development of the respiratory system] Type II pneumocytes (which develop in the late canalicular/saccular stage of embryology) produce surfactant. By reducing alveolar surface tension, surfactant increases lung compliance and significantly reduces the work of breathing.",2026-05-16T10:37:10.675826
SAQ_262E591A_Q1,D. Gastrointestinal tract and liver (GI-L),"Anatomical features of the gastrointestinal tract and liver, and abdomen","A 24-year-old man presents to his GP with a 4-hour history of dull, poorly localized pain around his umbilicus. He mentions feeling nauseated and having a loss of appetite.",,The umbilicus is a key landmark in the surface anatomy of the abdomen. Name the horizontal plane that passes through the umbilicus and divides the abdomen into quadrants.,1,"[""Transumbilical plane"", ""Transumbilical""]","[Subtopic: Anatomical features of the gastrointestinal tract and liver, and abdomen] The transumbilical plane passes through the umbilicus and the L3-L4 intervertebral disc level, intersecting with the median plane to divide the abdomen into four quadrants.",2026-05-16T10:37:39.590702
SAQ_262E591A_Q2,D. Gastrointestinal tract and liver (GI-L),ILA 5 - Gastritis and Appendicitis,"A 24-year-old man presents to his GP with a 4-hour history of dull, poorly localized pain around his umbilicus. He mentions feeling nauseated and having a loss of appetite.","The patient's initial pain is visceral in nature, resulting from the stretching of the appendix.","State the spinal level (dermatome) that typically corresponds to referred pain from the midgut, and name the type of autonomic nerve fibers (sympathetic or parasympathetic) that carry these visceral pain afferents.",2,"[""T10 and sympathetic"", ""T10; sympathetic"", ""T10 and sympathetic nerves""]",[Subtopic: ILA 5 - Gastritis and Appendicitis] Visceral afferent fibers from the midgut organs (like the appendix) travel alongside sympathetic nerves to the T10 spinal cord level. Pain is therefore referred to the T10 dermatome at the level of the umbilicus.,2026-05-16T10:37:39.590709
SAQ_262E591A_Q3,D. Gastrointestinal tract and liver (GI-L),Embryonic development of the gastrointestinal tract and liver,"A 24-year-old man presents to his GP with a 4-hour history of dull, poorly localized pain around his umbilicus. He mentions feeling nauseated and having a loss of appetite.",The appendix is an embryonic derivative of the midgut.,"Name the specific branch of the abdominal aorta that provides the primary blood supply to all midgut derivatives, and state the vertebral level at which this artery typically originates.",2,"[""Superior mesenteric artery and L1"", ""SMA and L1"", ""Superior mesenteric artery; L1""]",[Subtopic: Embryonic development of the gastrointestinal tract and liver] The superior mesenteric artery (SMA) is the artery of the midgut. It arises from the abdominal aorta at the level of the L1 vertebra.,2026-05-16T10:37:39.590711
SAQ_262E591A_Q4,D. Gastrointestinal tract and liver (GI-L),Physiological features of the gut,"A 24-year-old man presents to his GP with a 4-hour history of dull, poorly localized pain around his umbilicus. He mentions feeling nauseated and having a loss of appetite.","The GP investigates the patient's symptoms further. To understand gastric health, it is important to consider the regulation of acid secretion in the stomach.",Gastric acid production by parietal cells is stimulated by three primary endogenous secretagogues. Name these three molecules.,3,"[""Gastrin, Histamine, and Acetylcholine"", ""Gastrin, Histamine, Acetylcholine"", ""Gastrin, Histamine, ACh""]","[Subtopic: Physiological features of the gut] Hydrochloric acid secretion is regulated by Gastrin (hormonal), Histamine (paracrine), and Acetylcholine (neurocrine). These act on receptors on the basolateral membrane of parietal cells.",2026-05-16T10:37:39.590713
SAQ_262E591A_Q5,D. Gastrointestinal tract and liver (GI-L),Histology of the gastrointestinal tract and liver,"A 24-year-old man presents to his GP with a 4-hour history of dull, poorly localized pain around his umbilicus. He mentions feeling nauseated and having a loss of appetite.",The gastric mucosa possesses several protective mechanisms to prevent damage from its acidic environment.,"Name the specific inorganic ion secreted by surface mucous cells that acts as a buffer, and name the anatomical layer of the gut tube where these cells are primarily located.",2,"[""Bicarbonate and mucosa"", ""Bicarbonate ion and mucosa"", ""HCO3- and mucosa""]",[Subtopic: Histology of the gastrointestinal tract and liver] Surface mucous cells in the gastric mucosa secrete an alkaline fluid rich in bicarbonate ions (HCO3-). This layer protects the epithelium from the low pH of the gastric lumen.,2026-05-16T10:37:39.590715
SAQ_227853C0_Q1,E. Neuroscience,Neuroanatomy,A 68-year-old man presents to the emergency department with sudden onset weakness of his right leg and foot. A CT scan of the head shows an acute ischaemic infarct in the territory of the left anterior cerebral artery.,,The anterior cerebral arteries are part of the cerebral arterial circle (Circle of Willis). Name the small vessel that connects the two anterior cerebral arteries to complete the anterior portion of this circle.,2,"[""Anterior communicating artery"", ""Anterior communicating"", ""AComm""]","[Subtopic: Neuroanatomy] The anterior communicating artery is a short vessel that connects the left and right anterior cerebral arteries, forming the anterior-most part of the Circle of Willis.",2026-05-16T10:38:07.007959
SAQ_227853C0_Q2,E. Neuroscience,Neuroanatomy,A 68-year-old man presents to the emergency department with sudden onset weakness of his right leg and foot. A CT scan of the head shows an acute ischaemic infarct in the territory of the left anterior cerebral artery.,The patient's weakness is due to a lack of blood supply to the primary motor cortex. The motor cortex is organized somatotopically.,"State the specific aspect (medial, lateral, or superior) of the precentral gyrus where the motor representation for the lower limb is located.",2,"[""Medial"", ""Medial aspect"", ""Medial surface""]","[Subtopic: Neuroanatomy] According to the motor homunculus, the lower limb (leg and foot) is represented on the medial aspect of the precentral gyrus, supplied by the anterior cerebral artery.",2026-05-16T10:38:07.007967
